! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gas_EdgeList.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
727,171,R171,OH,1
679,172,R172,CH3CO,1
713,172,CH3CHO,R172,-1
714,172,R172,H2O,1
727,172,OH,R172,-1
702,173,R173,HCOCH2O2,1
713,173,CH3CHO,R173,-1
714,173,R173,H2O,1
727,173,OH,R173,-1
671,174,R174,HNO3,1
679,174,R174,CH3CO,1
713,174,CH3CHO,R174,-1
732,174,NO3,R174,-1
574,175,CH3CO2H,R175,-1
653,175,R175,CO2,1
708,175,R175,CH3,1
714,175,R175,H2O,1
727,175,OH,R175,-1
653,176,R176,CO2,1
704,176,CH3CO3,R176,-1
708,176,R176,CH3,1
721,176,HO2,R176,-1
727,176,R176,OH,1
221,177,R177,CH3CO3H,1
704,177,CH3CO3,R177,-1
721,177,HO2,R177,-1
574,178,R178,CH3CO2H,1
704,178,CH3CO3,R178,-1
719,178,R178,O3,1
721,178,HO2,R178,-1
653,179,R179,CO2,1
704,179,CH3CO3,R179,-1
708,179,R179,CH3,1
730,179,NO,R179,-1
731,179,R179,NO2,1
416,180,R180,PAN,1
704,180,CH3CO3,R180,-1
731,180,NO2,R180,-1
653,181,R181,CO2,1
704,181,CH3CO3,R181,-1
708,181,R181,CH3,1
731,181,R181,NO2,1
732,181,NO3,R181,-1
653,182,R182,CO2,1
704,182,CH3CO3,R182,-1
708,182,R182,CH3,1
574,183,R183,CH3CO2H,1
704,183,CH3CO3,R183,-1
221,184,CH3CO3H,R184,-1
704,184,R184,CH3CO3,1
714,184,R184,H2O,1
727,184,OH,R184,-1
416,185,PAN,R185,-1
714,185,R185,H2O,1
715,185,R185,HCHO,1
726,185,R185,CO,1
727,185,OH,R185,-1
731,185,R185,NO2,1
416,186,PAN,R186,-1
704,186,R186,CH3CO3,1
731,186,R186,NO2,1
449,187,C2H2,R187,-1
697,187,R187,GLYOX,0.71
721,187,R187,HO2,0.29
726,187,R187,CO,0.29
727,187,OH,R187,-1
727,187,R187,OH,0.71
728,187,R187,HCOOH,0.29
399,188,R188,HOCHCHO,0.2
