! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : cri_BiadjacencyMatrix.csv
! Equation file        : cri.kpp
! Output root filename : cri
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
OH,439,218,-1
PR2OHMOX,130,219,-1
CH3OCHO,131,219,1
C2H5O2,423,219,1
OH,439,219,-1
BUOX2ETOH,132,220,-1
ECARB7,134,220,1
RN10O2,427,220,1
OH,439,220,-1
BOX2PROL,133,221,-1
ECARB7,134,221,1
OH,439,221,-1
RN13O2,442,221,1
CH3OCH3,90,222,-1
RE6O2,271,222,1
HNO3,372,222,1
NO3,437,222,-1
DIETETHER,91,223,-1
RE12O2,313,223,1
HNO3,372,223,1
NO3,437,223,-1
DIIPRETHER,92,224,-1
HNO3,372,224,1
RN18AO2,408,224,1
NO3,437,224,-1
MTBE,137,225,-1
HNO3,372,225,1
RN15O2,426,225,1
NO3,437,225,-1
ETBE,127,226,-1
RE18O2,314,226,1
HNO3,372,226,1
NO3,437,226,-1
MO2EOL,128,227,-1
CH3OCHO,131,227,1
HNO3,372,227,1
CH3O2,417,227,1
NO3,437,227,-1
EOX2EOL,129,228,-1
ECARB7,134,228,1
HNO3,372,228,1
CH3O2,417,228,1
NO3,437,228,-1
PR2OHMOX,130,229,-1
CH3OCHO,131,229,1
HNO3,372,229,1
C2H5O2,423,229,1
NO3,437,229,-1
BUOX2ETOH,132,230,-1
ECARB7,134,230,1
HNO3,372,230,1
RN10O2,427,230,1
NO3,437,230,-1
BOX2PROL,133,231,-1
ECARB7,134,231,1
HNO3,372,231,1
NO3,437,231,-1
RN13O2,442,231,1
DMM,52,232,-1
RE6O2,271,232,1
CO,376,232,2
OH,439,232,-1
DMC,33,233,-1
RE6O2,271,233,1
OH,439,233,-1
HCOOH,277,234,-1
OH,439,234,-1
HO2,441,234,1
CH3CO2H,235,235,-1
CH3O2,417,235,1
OH,439,235,-1
PROPACID,136,236,-1
C2H5O2,423,236,1
OH,439,236,-1
CH3OCHO,131,237,-1
CH3O2,417,237,1
OH,439,237,-1
METHACET,34,238,-1
C2H5O2,423,238,1
OH,439,238,-1
